,en,zh
2207,Have a nice trip.,祝顺风。
547,"OK, you win.",好吧，你赢了。
20765,I am positive that he has finished.,我确信他已经完成了。
19922,I will give you whatever you want.,我会给你任何你想要东西。
945,I didn't sing.,我没唱歌。
26085,"You can't understand this sentence, can you?",你不懂这句句子，不是吗？
27112,You don't deserve the salary they're paying you.,你不应该得到他们给你的薪水。
11378,My aunt has three children.,我阿姨有三个孩子。
27949,I admit that this may not be the best way of doing it.,我承认这可能不是最好的方法。
20070,My plans failed one after another.,我的计划一个接一个的失败了。
28967,Tom couldn't go to college because his family didn't have enough money.,因为家里钱不够所以汤姆没能念大学。
3352,Whose car is this?,这辆汽车是谁的?
6186,I'm ashamed of myself.,我对我自己感到惭愧。
1680,He loves trains.,他喜欢火车。
25066,Aren't you supposed to be at school today?,你今天不是应该在学校的吗？
1557,Why do you ask?,你问这个干什么?
17341,I don't know anything about him.,我不知道任何有关他的事。
5863,Does he speak English?,他说英语吗？
20994,It worried me that she looked pale.,她虚弱的样子让我捏了一把汗。
19142,They have been married two years.,他们已经结婚两年了。
19016,Speaking English is a lot of fun.,说英语很有趣。
2698,Why did you quit?,你为什么辞职？
4199,Do you like rabbits?,你喜欢兔子吗？
25570,I'll never forget going to Hawaii with her.,我永远不会忘记那次跟她一起去夏威夷。
24614,Did you eat at home before you came here?,你来之前在家里吃饭了吗？
5653,We want a new carpet.,我们想要一条新毯子。
21064,My father's hobby is growing roses.,我父亲的嗜好是种玫瑰花。
27228,Man is the only animal that can make use of fire.,人是唯一会使用火的动物。
27517,"Because his salary is low, he can't buy that house.",因为他的薪水太低，他买不起那栋房子。
28141,The radio is too loud. Can't you turn it down a little?,收音机太响了。你不能把音量调低一点吗？
21835,I couldn't answer all the questions.,我不能回答所有的问题。
25759,We tried to come to a compromise with them.,我们试着和他们妥协。
3732,It's foggy outside.,外面起雾了。
25009,What happened to Tom could happen to you.,汤姆身上发生的事也可能发生到你身上。
29007,"If a sick person folds one thousand paper cranes, her wish will come true.","如果一个病人折一千只纸鹤, 她的愿望就会成真。"
1719,I am not stupid.,我不是笨蛋。
6442,The risk is too great.,风险太大。
17739,She told me she knew my brother.,她告诉我她认识我的哥哥。
6428,The clock has stopped.,时钟已经停止了。
8648,You're absolutely right.,你完全是对的。
19418,You should come back immediately.,你应该马上回来。
20226,The mountain is covered with snow.,这座山被雪覆盖了。
3113,She has blue eyes.,她有蓝色的眼睛。
28163,We encountered a lot of difficulties on the expedition.,我们在探险的时候遇到了很多困难。
17803,The new medicine saved his life.,这个新药救了他的命。
20145,She left the hospital an hour ago.,她一小时前离开了医院。
7552,Why are you so worried?,你这么担心做什么?
10186,I was exhausted from work.,我工作累死了。
17702,She has a son and two daughters.,她有一个儿子和两个女儿。
9093,I met a friend of Mary's.,我遇到了玛丽的一位朋友。
10337,May I ask a few questions?,我能问一些问题吗？
24865,The cough syrup has a licorice flavoring.,咳嗽糖浆有股甘草的味道。
13702,Put some water into the vase.,在花瓶里装些水。
16085,I used a knife to cut the cake.,我是用刀切蛋糕的。
17425,I remember seeing you last year.,我记得去年看过你。
15956,I don't like to sing in public.,我不喜欢在公共场合唱歌。
12398,I'd like to see your father.,我想去看你的父亲。
14084,Will it take long to recover?,复原需要花很长的时间吗？
12065,He made fun of me in public.,他在公共场合取笑了我。
8760,Do you have any siblings?,你有兄弟姐妹吗？
3296,We're the problem.,我们就是问题所在。
12836,Tom gave a different answer.,汤姆给出了不同的答案。
26596,Thousands of people wanted to know the answer.,成千上万的人想要知道答案。
11499,She was wearing long boots.,她穿着长靴。
18086,When did you begin playing golf?,你什么时候开始打高尔夫球？
22196,Thousands of people lost their jobs.,数千人失业。
563,That's true.,这是真的。
5345,It makes me feel sad.,这让我感到沮丧。
14242,Don't tell me you didn't know.,别跟我说你不知道。
26061,We receive many telephone calls from abroad.,我们接到许多来自国外的电话。
11313,Is the snake alive or dead?,这条蛇是活的还是死的？
5290,I'm folding my dress.,我在叠我的连衣裙。
10319,It's not good for anybody.,这对任何人都不好。
1873,It'll rain soon.,天快要下雨了。
12553,My house is near the school.,我的家离学校很近。
17491,I'm going to attend the meeting.,我将出席这个会议。
6134,I want to be a lawyer.,我要当律师。
26134,He received quite a few letters this morning.,今天早上他收到好多信。
28165,"When I heard that song, it reminded me of my childhood.",我一听到那首歌，就想起了我小的时候。
17867,These cameras are made in Japan.,这些照相机是在日本制造的。
20615,"First we'll eat, and then we'll go.",我们先吃饭，然后再走。
17765,Something is starting to happen.,有什么要开始了。
24932,Tom and Mary are both wearing brown hats.,汤姆和玛丽都戴着褐色的帽子。
19709,How about something cold to drink?,喝点冷饮怎样？
20637,He denies having broken the window.,他否认打破了窗口。
6836,He is afraid of snakes.,他怕蛇。
349,Just relax.,放松点吧。
1687,He will survive.,他会幸存。
1355,I'm behind him.,我在他后面。
27673,"All of a sudden, three dogs appeared in front of us.",突然之间，三只狗出现在我们面前。
21594,Will you take part in the ceremony?,你会参加这个仪式吗?
789,She may come.,她也许来。
688,"I cried, too.",我也哭了。
28769,The number of people suffering from heart disease has increased.,遭受心脏病困扰的人数增加了。
9246,I've always kept my word.,我一直信守我的诺言。
18368,He keeps making the same mistake.,他总是犯同样的错误。
22661,Many people work in industrial towns.,许多人在工业城市工作。
24688,I cannot bring myself to do such a thing.,我不能让自己做这样的事。
25894,I was taking a bath when the telephone rang.,在我洗澡的时候，电话响了。
5683,What's your job here?,你在这里的工作是什么？
24567,"Without the sun, there would be no life.",没有太阳就没有生命。
16325,My plane leaves at six o'clock.,我搭的飞机在六点钟起飞。
8892,He took out his passport.,他拿出了他的护照。
18659,I want to be the one who decides.,我想成为决策的人。
27576,It would take forever for me to explain everything.,要都解释的话，需要一辈子的时间。
24291,I'm fairly confident that I can do that.,我相当有自信我能做到这一点。
2766,Didn't you notice?,你没注意到吗？
16677,Tom gave Mary a ride to Boston.,汤姆载玛丽去波士顿。
2026,Tom stayed home.,汤姆留在家里。
12110,His cottage is on the coast.,他的村屋在海岸上。
1527,Try once again.,再试一次。
23865,Maybe I should just tell Tom the truth.,可能我就该告诉汤姆真相。
15541,Beer bottles are made of glass.,啤酒瓶是玻璃做的。
25839,He showed me the manuscript of his new play.,他给我看了他最新剧的底稿。
2703,You are blushing.,你脸红了。
5187,I invited my friends.,我邀请了我的朋友。
22838,This factory manufactures CD players.,这家工厂生产CD机。
28801,In another two weeks you will be able to get out of the hospital.,再过两周你就可以出院了。
12405,I'll be seventeen next year.,我明年17岁。
13722,She has a cottage by the sea.,她在海边有一个度假屋。
7656,Can I drive the tractor?,我能开拖拉机吗？
13420,I hope you have sweet dreams.,祝你好梦。
28433,"After I cleaned the window, I could see through it clearly.",清洁窗户后，我能很清楚的从窗户看出去。
15769,He looks older than my brother.,他看起来年纪比我的兄弟大。
11778,What would you like to eat?,您想吃什么？
10422,She gave her father a tie.,她给了她父亲一条领带。
29072,Tom said that Mary thought that John might be permitted to do that next weekend.,汤姆说玛丽觉得约翰下周末可能被允许那么做。
17537,Is there anything else you want?,还有什么想要的吗？
11654,Tom helped me fix my watch.,汤姆帮我修好了我的手表。
28716,He crept out of the room very carefully to avoid waking her up.,他很小心地溜出房间，以免惊醒她。
5910,He admitted his guilt.,他承认他有罪。
22115,The baby has finally stopped crying.,婴儿终于不哭了。
15488,You're a better skier than me.,你滑雪比我好。
27452,The plane was three hours late due to bad weather.,由于天气不好，飞机迟到了3小时。
4424,I tried to tell you.,我试着要告诉你。
10341,Maybe they have something.,他们可能有点什么。
20388,Traffic downtown is all backed up.,市中心的交通都堵塞了。
24397,Texas is nearly twice as large as Japan.,得克萨斯州约是日本的两倍大。
10881,Can you help me find a job?,你能帮我找一个工作吗？
9020,I don't think he'll come.,我不认为他会来的。
21894,I made efforts to improve my grades.,我努力地改善我的成绩。
28012,This kind of plant grows only in the tropical regions.,这类植物只生长在热带地区。
14740,I'm feeling good this morning.,我今天早晨感觉良好。
5554,This is your pudding.,这是你的布丁。
4189,Do you drink coffee?,你喝咖啡吗?
16036,I left my briefcase on the bus.,我把我的公文包留在公交车上了。
21693,Cut the melon into six equal pieces.,把瓜切成六等分。
26099,"After several delays, the plane finally left.",经过数次延迟之后，飞机终于离开了。
3739,It's not practical.,这不实用。
25550,I think that you ought to apologize to her.,我认为你应该跟她道歉。
12830,Tom drank some orange juice.,Tom喝了点柳橙汁。
26234,"More often than not, she had to go in person.",很多时候她要亲自去。
19217,Tom has forgotten how to do that.,汤姆忘了怎么做。
17604,My dog follows me wherever I go.,无论我去哪里，我的狗都跟着我。
11436,Please show me another one.,请给我看看其他的。
10525,There is a letter for you.,你有一封信。
26308,This English composition is far from perfect.,这篇英语作文离完美还差得远。
27252,Stop pretending that everything's okay. It's not.,不要再假装一切都好了，不是这样的！
9887,Every rose has its thorns.,没有不带刺的玫瑰。
28887,"If two men always have the same opinion, one of them is unnecessary.",如果两个人总是意见相同，那么他们其中一个就没必要了。
25221,My parents objected to my studying abroad.,我父母反对我出国留学。
23924,The French lost the battle of Waterloo.,法国人在滑铁卢之役吃了败仗。
2710,You're impatient.,你缺乏耐心。
24352,No student is allowed to enter the room.,学生不准进入这个房间。
21100,Our school's principal is very old.,我校校长很老了。
2684,Where is my book?,我的书在哪？
1393,It's our fault.,它是我们的错误。
26770,May I be the first to offer my congratulations.,希望我是第一个祝贺的人。
2226,He is unsociable.,他太不合群。
2534,The dog is white.,这只狗是白色的。
3336,Where is my watch?,我的手表在哪里？
11414,Now is the time for action.,现在是行动的时候了。
14959,School will start next Monday.,下周一开学。
16011,I have to take a test tomorrow.,明天我必须参加考试。
14624,I should've brought my camera.,我应该把我的相机带来。
11946,Did you do this on your own?,这是你自己做的吗?
18928,She dived into the swimming pool.,她跳入了游泳池。
5663,What are you cooking?,你在煮什么?
8525,What did you want to do?,你以前想做什么？
907,He is at home.,他在家里。
3899,They never give up.,他们永不言弃。
17571,Learning French isn't difficult.,学法语不难。
10620,Tom is never going to cry.,汤姆永远不会哭。
10333,Let's take the 4:10 train.,我们去坐四点十分的火车吧。
3617,I like that person.,我喜欢那个人。
14420,How would you like your steak?,您的牛排要几分熟？
27168,He would often come to see us when I was a child.,当我还是个孩子时，他经常来看望我们。
8426,Tom is taking a day off.,汤姆在休一天假。
15993,I had no feeling in my fingers.,我的手指没有感觉。
18703,I'll carry this suitcase for you.,我会帮你提这个手提箱。
13982,Wait here till he comes back.,在这儿等到他回来为止。
22923,We saw him walking across the street.,我们看见他正在过马路。。
7474,We like playing soccer.,我们喜欢踢足球。
13756,Stop staring at me like that.,不要再这么盯着我了。
2727,Are you a teacher?,你是不是老师？
10030,I can't ask Tom right now.,我现在不能问汤姆。
1604,Call the police!,报警！
19720,How many times have you seen this?,你看这看了多少次？
4564,May I eat something?,我可以吃点什么吗？
17966,Tom is hiding a terrible secret.,汤姆隐藏着一个可怕的秘密。
12900,Tom's dog bit him playfully.,汤姆的狗咬他玩。
25093,Has that secretarial position been filled?,秘书的职位已经有人了吗？
2412,It's a clear day.,天空很晴朗。
24468,This medicine will make you feel better.,这药会让你好受点。
21348,There are some boys under the tree.,树下有一些男孩。
16664,Tom asked Mary to stop working.,汤姆要求玛丽停止工作。
3274,Was that too much?,那太多了吗？
6020,I didn't believe them.,我不相信他们。
28339,Would it be ethical to sacrifice one person to save many?,为了救许多人牺牲一个人是否道德？
2425,It's pitch black.,天色漆黑。
16851,What's your natural hair color?,你的头发自然发色是什么颜色？
26628,UK is the abbreviation for the United Kingdom.,UK是英国的缩写。
7427,Tom isn't yet finished.,汤姆还没完成。
14938,Our teacher likes his new car.,我们的老师喜欢他的新车。
14471,I didn't catch your last name.,我没听到您的姓。
10013,I am going to play tennis.,我要去打网球。
28540,"If I were you, I'd want to know what Tom is doing right now.",如果我是你，我不会想去知道Tom现在正在做什么。
17550,It snowed from Monday to Friday.,雪从周一下到周五。
16895,"Without water, we cannot exist.",没有水，我们无法生存。
22807,There's a pub just around the corner.,在转角有一家酒吧。
20661,He has recovered from his bad cold.,他从重感冒中恢复了过来。
12908,"Waitress, I'd like to order.",服务生，我要点菜。
20935,I'd rather not go out this evening.,我今天晚上宁可不要出门。
2873,I am in the house.,我在家里。
13818,The old man lived by himself.,老人独自生活。
10339,May I have a bus schedule?,我可以有张公交车的时刻表吗？
12723,The dog is blind in one eye.,那狗一只眼是瞎的。
17662,Please let me take your picture.,请让我为你拍照。
3315,What're you doing?,搞什么啊？
14121,You seem to be an honest man.,你看起来像个老实人。
606,Who are you?,你是谁？
18573,I had to work overtime yesterday.,我昨天必须加班。
11945,Did you already eat at home?,你在家吃过了吗？
18355,He is a student at a high school.,他是一名高中学生。
14155,A dog was run over by a truck.,一条狗被卡车碾过。
27747,"Quite by chance, I met my old friend at the airport.",很幸运地，我在机场遇到了我的老朋友。
19892,I used to have a friend named Tom.,我曾有个朋友叫汤姆。
856,What is love?,爱是什么？
1926,Please sit down.,请坐下。
23543,Who are your most interesting friends?,你最有趣的朋友是谁？
26179,I played tennis yesterday for the first time.,昨天我第一次打了网球。
18118,Will you please show me the way?,请你告诉我路怎么走好吗？
19400,You can sit wherever you want to.,你可以坐你想坐的任何地方。
7908,I don't want Tom to die.,我不想让汤姆死。
6424,The bread isn't fresh.,面包不新鲜。
16803,What are you two arguing about?,你们两个在争论甚么？
16381,Put the book back where it was.,把书放回它原来的地方。
11623,This word comes from Latin.,这个词源于拉丁语。
44,Go away!,走开！
2812,He bought a Honda.,他卖了一台丰田的车。
25269,That's enough money to cover the expenses.,那些钱足够支付费用。
28135,The mother missed her daughter who was away at college.,妈妈想念她在读大学的女儿。
19513,Did you find anything interesting?,你找到有趣的东西了吗？
14619,I saw him crossing the street.,我看见他穿过了马路。
10300,It's a quarter past eight.,现在是八点一刻。
10075,I found out where she was.,我弄清楚她在哪儿了。
28639,Turn the volume up so that the students at the back can hear.,声音大声一点，以便让坐在后边的学生能听到。
18022,We go fishing from time to time.,我们时不时地去钓鱼。
25702,This novel is very difficult to understand.,这部小说很难读懂。
8972,I arrived here yesterday.,我昨天到这里的。
15094,The Diet will meet on Tuesday.,国会将在周二开会。
23964,The whole class is present once a week.,全班同学每周出席一次。
585,Wait for me.,等等我。
4978,Did you go to school?,你去学校了吗？
7256,Sport knows no borders.,体育无国界。
25852,How far is it from the airport to the hotel?,从机场到旅馆多远？
23600,"As far as I know, she is still missing.",据我所知，她仍然失踪。
14729,I'll show you around the town.,我会带你逛逛这个镇。
12393,I'd like something to drink.,我想喝点什么。
19039,That's a nice car you're driving.,你开的那辆车很不错。
200,I'm lucky.,我运气很好。
4563,May I drink alcohol?,我可以喝酒吗？
11661,Tom is doing what he loves.,汤姆在做他喜欢做的事。
17408,"I looked around, but saw nobody.",我环顾四周，却没看见任何人。
26350,Visiting a foreign country must be expensive.,到外国一定很贵。
2051,We have no time.,我们没时间。
9736,Wine is made from grapes.,葡萄酒是用葡萄做成的。
6245,It's a very sad story.,这是一个非常悲伤的故事。
28884,"I think that Liszt's ""Forgotten Waltz No.3"" is a hidden masterpiece.",我觉得李斯特的《被遗忘的圆舞曲第三首》是个被埋没的名曲。
12548,My father made me what I am.,我父亲让我知道了我自己是谁。
10687,We both know why I'm here.,我们都知道我为甚么在这里。
4825,What does this mean?,这是什么意思？
3533,Horses are animals.,马是动物。
20297,This homework is difficult for me.,这个家庭作业对我来说很困难。
19302,We should inform them about that.,我们应该把那件事情告知他们。
2264,How was the food?,食物怎么样？
1232,Give me a kiss.,吻我。
16387,She accused me of being a liar.,她骂我是个骗子。
27171,How come you know so much about Japanese history?,你为什么知道这么多的日本历史?
8925,His clothes are worn out.,他的衣服穿坏了。
14833,It was only a partial success.,那只是部分的成功。
11935,Chinese is a tonal language.,汉语是一个声调语言。
3926,This is quite good.,这可真好。
2536,The food is cold.,这食物是冷的。
5597,Tom is the one I saw.,我看见的是汤姆。
19725,I am determined to be a scientist.,我决心要成为一名科学家。
14968,She cooked the dinner herself.,她自己煮晚餐了。
9222,I'm learning how to type.,我正在学如何打字。
11836,Won't you have some coffee?,你不要点咖啡吗？
17306,I borrowed money from my father.,我向我父亲借钱。
23211,I was watching TV when the phone rang.,电话响的时候，我在看电视。
22235,Tom quietly closed the bedroom door.,汤姆静静地关上了卧室的门。
23757,I often played tennis when I was young.,我年轻时经常打网球。
11096,I don't know how to use it.,我不知道如何使用它。
27261,The incident made everyone feel more embarrassed.,这件事弄得大家都比较尴尬。
15130,The letter was written by Tom.,这信是汤姆写的。
14438,I appreciate your cooperation.,我感谢您的合作。
4072,Where is the hotel?,旅馆在哪里？
15279,Tom pretended he was a doctor.,汤姆假装他是一名医生。
24010,Tom doesn't drive as carefully as I do.,汤姆不像我这样开车小心。
14694,I will telephone you later on.,我晚点打给你。
14848,It's really bad for your eyes.,它对你的眼睛有害。
1065,Read this now.,现在读这个。
27209,"I've looked everywhere, but I can't find my book.","我什么地方都找过了, 但却找不到我的书。"
2855,How are you doing?,你们好吗？
23909,She's busy now and can't talk with you.,她现在忙，没有办法跟你们说话。
10189,I was scared all the time.,我一直很害怕。
376,Stay still.,别动。
23868,My brother and I are in the same class.,我的兄弟和我在一个班级。
22885,Tom left a note for Mary on her desk.,汤姆给玛丽在她桌上留了便条。
26607,Tom has admitted that he was there that night.,汤姆承认他那晚是在那里。
833,Tom's thirty.,汤姆今年三十岁。
13235,He is hard to get along with.,他这个人很难相处。
20415,We have to look after our parents.,我们要照顾我们的父母。
17743,She translated it word for word.,她逐字地翻译它。
5050,He has two daughters.,他有两个女儿。
8132,It's very uncomfortable.,真让人不舒服。
11968,Do you think Tom is wealthy?,你认为汤姆有钱吗？
28150,They answered their teacher's question with difficulty.,他们好不容易才回答了他们老师的问题。
24929,Today I feel better than I did yesterday.,我今天感觉比昨天好。
11008,He said hello to the woman.,他向那位女士问好。
16415,She has very few close friends.,她的密友很少。
3073,"Long time, no see.",真是好久不见啊
8375,This paragraph is vague.,这一个段落是模糊不清的。
16408,She got on the subway at Ginza.,她在银座搭乘了地铁。
4954,Can I hold your hand?,我可以牵着你的手吗？
15974,I forgot to bring my I.D. card.,我忘了带我的身份证。
23671,He told his wife not to buy on impulse.,他叫自己的妻子不要冲动购物。
21752,He described the incident in detail.,他详细地描述了事故状况。
5001,Does Tom play tennis?,汤姆打网球吗？
11018,He turned pale with fright.,他吓得脸色发白。
25603,Many of the immigrants changed their names.,许多移民改了名字。
4724,Tom has no siblings.,Tom没有兄弟姊妹。
11900,A mouse is a timid creature.,老鼠是胆小的生物。
24647,He doesn't have any friends to play with.,他没有任何朋友玩。
8910,He will be a good doctor.,他会成为一个好的医生的。
25318,They'll get out of class in forty minutes.,他们四十分钟之后下课。
69,It's me.,是我。
17233,"He who laughs last, laughs best.",最后笑的人，才是笑得最得意的人。
1739,I feel relieved.,我感觉轻松了。
14750,I'm not going to say it again.,我不会再说了。
22824,They don't know each other very well.,他们不太认识对方。
8413,Tom is a little worried.,汤姆有点担心。
14297,He has some money in the bank.,他银行里有点钱。
27399,I'm not the only one who thinks Tom is overweight.,觉得汤姆肥的人不止我一个。
21455,Tom has loved Mary for a long time.,汤姆爱玛丽很久了。
8337,These pants fit me well.,这些裤子我穿起来很合身。
19947,I'll see you again this afternoon.,今天下午我会再见到你。
227,Of course.,当然。
8726,"Christmas is soon, right?",圣诞节很快就到了，对吗？
16217,"In case of emergency, call 119.",在紧急情况下，可拨打 119。
26691,Don't ask her any questions about her marriage.,不要问她任何有关婚姻的问题。
1864,Is this a river?,这是一条河吗?
28976,I can place the palms of my hands on the floor without bending my knees.,我不用曲膝就能把我的手掌放到地上。
13267,He was jealous of my success.,他嫉妒我的成功。
26515,It's time you went to bed. Turn off the radio.,你该上床了。把收音机关了。
11428,Perhaps we should help Tom.,我们可能要帮汤姆。
5191,I knew Tom's brother.,我认识汤姆的弟兄。
18837,My father is a bit old-fashioned.,我爸爸有点守旧。
1812,I'm a professor.,我是大学教授。
26892,You'll get used to this in three or four weeks.,你在三或四周内就会习惯。
383,That's wet.,那是湿的。
25432,Are you going to be in Boston this weekend?,你这周末在波士顿过吗？
729,I'm so happy.,我好高兴。
313,I like you.,我喜欢你。
24490,Tom has lived in Boston for over a year.,汤姆住在波士顿已经一年多了。
8270,Thanks for the memories.,感谢那些回忆。
17613,My father sometimes goes abroad.,我父亲偶尔出国。
2826,He is a biologist.,他是一个生物学家。
9000,I don't care if it snows.,我不在乎是否下雪。
21390,They've announced their engagement.,他们已经宣布订婚了。
5673,What happened to you?,你到底怎么回事啊？
5262,I wish you good luck.,我祝您好运。
3059,It's wrong to lie.,说谎不好。
16638,This is a picture of my mother.,这张是我妈妈的照片。
25526,I have a special relationship with my aunt.,我和我阿姨有种特别的情谊。
6672,You must do your best.,你必须做到最好。
28912,I think it's dangerous to climb a mountain on a day when it's stormy.,我认为在有风暴的时候里登山很危险。
4044,What happened then?,然后发生了什么事？
26255,She did not visit me on Sunday but on Monday.,她没有在星期天来找我，而是星期一。
10269,"In case of fire, dial 119.",遇到火警时，拨打119。
16780,We toured all the major cities.,我们游览了所有主要城市。
15818,He wasn't able to open the box.,他没有能力打开箱子。
8364,This dictionary is mine.,这本字典是我的。
22546,I paid two thousand yen for the book.,我用两千日元买了这本书。
18511,I can't believe you're giving up.,我不能相信你要放弃。
22594,I'll take your suitcase to your room.,我会把你的手提箱拿到你的房间。
8834,He cut the envelope open.,他裁开了那个信封。
6602,What else can this do?,这还有什么能做的？
2897,I don't accept it.,我不接受。
13278,Her feelings are easily hurt.,她很容易受到感情上的伤害。
14177,Arithmetic deals with numbers.,算数处理数字。
20891,I think your basic theory is wrong.,我认为你的基本理论是错的。
725,I'm not sure.,我不确定。
4618,She made tea for me.,她给我沏了茶。
5407,My father is healthy.,父亲很健康。
23232,I'm just playing the devil's advocate.,我在给魔鬼当辩护士。
15280,Tom put his money in the safe.,汤姆把他的钱放在保险柜里。
8442,Tom needs encouragement.,汤姆需要鼓励。
29119,"That place's food is delicious and their prices are low. However, their location isn't good.",那家馆子物美价廉，美中不足的是他们糟糕的位置。
4447,I'd like to do more.,我想做更多。
19463,Apples were served as the dessert.,苹果被用来当作甜点。
26021,"These are my books, and those are his books.",这些是我的书，而那些是他的书。
5826,Can I open the window?,可以开窗吗？
28170,Women eat lighter meals when they're eating with a guy.,当女性跟一个男人吃饭时，女性会吃得比较少。
620,You're here.,你在这里。
9124,I think I drank too much.,我想我喝得太多了。
6531,Tom likes me the most.,Tom 最喜欢我。
18298,"Give me a glass of water, please.",请给我一杯水。
18132,Would you mind closing the door?,你介意关上门吗？
24138,Do you know where Tom is waiting for us?,你知道汤姆在哪里等我们吗？
14808,It doesn't matter what you do.,你做什么都无所谓。
6025,I dislike being alone.,我不喜欢独处。
5418,Nobody supported her.,没人支持她。
8358,They're speaking French.,他们在说法语。
1977,They're special.,他们很特别。
25161,I stayed home all day long reading novels.,我全天在家读小说。
9722,Why didn't you stop them?,你为什么不阻止他们？
9579,Tom lost his credibility.,汤姆失去了信誉。
9682,What is it that you want?,你想要什么?
10008,I agree with your opinion.,我同意您的意见。
26049,Tom was embarrassed to have to ask for help.,汤姆很不好意思去求帮忙。
16810,What did you say your name was?,你说你叫什么名字？
27914,"Whether he comes or not, the result will be the same.",他来还是不来，结果是一样的。
28514,A group of young men are playing handball in the playground.,一群年轻人在操场上打手球。
28770,The value of the coins depended on the weight of the metal used.,钱币的价值取决于所使用的金属的重量。
6758,Did you see him go out?,你看到他出去了吗？
17982,Tom said he didn't see anything.,汤姆说了他什么也没看到。
11828,Why don't you have a party?,你为什么不举行派对？
